px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.50662	-12.531	-2.69467	1.18382	-0.682229	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.0563
9.43623	-12.644	-2.6874	1.13837	-0.693477	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.74754
9.35062	-12.7714	-2.68577	1.07617	-0.726126	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.827633
9.26805	-12.8835	-2.6744	1.02835	-0.735135	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.868834
9.0889	-12.9665	-2.67725	0.861442	-0.914156	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	25.508
8.96878	-13.053	-2.67492	0.795309	-0.932497	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.40406
8.8137	-13.1328	-2.68	0.684482	-1.01259	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.69761
8.69042	-13.1999	-2.66571	0.618956	-1.02449	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.28994
8.53428	-13.2484	-2.67686	0.506073	-1.10935	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.42471
8.4044	-13.2896	-2.66783	0.437937	-1.12246	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.03848
8.21706	-13.3069	-2.68736	0.297684	-1.23083	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.35269
8.06634	-13.3184	-2.67542	0.214665	-1.2474	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.49342
7.90267	-13.3215	-2.68208	0.115807	-1.28669	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.86387
7.75565	-13.3087	-2.6697	0.0322389	-1.30166	7.76538	-13.1647	7.75	-13.15	-2.72986	0	1.08277
7.6527	-13.3465	-2.63997	0.027873	-1.21627	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.67361
7.51046	-13.3313	-2.64093	-0.0441812	-1.22564	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.53712
7.36241	-13.3129	-2.63908	-0.11457	-1.22608	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.818417
7.21154	-13.2829	-2.64217	-0.188582	-1.23089	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.240814
7.06674	-13.216	-2.66253	-0.292573	-1.2857	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.0999
6.92933	-13.1704	-2.67099	-0.359812	-1.28561	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.350832
6.7953	-13.1222	-2.66804	-0.422755	-1.27608	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.194881
6.65006	-13.0616	-2.67986	-0.489867	-1.26969	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.439966
6.53055	-13.0322	-2.63633	-0.506839	-1.19614	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.3761
6.38373	-12.98	-2.65411	-0.555159	-1.17495	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.09579
